price,place,built,sqft,sale,yearsOld,floor,totalFloor,bhk
6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
